Unnamed: 0,id,sku,short_description,price,list_price,discount,discount_rate,rating_average,review_count,quantity_sold,inventory_status,product_name,brand_id,brand_name
466,225205574,1328986240314,"Dell Inspiron 14 5420 DGDCG2Bảo mật vân tay an toàn - Màn hình độ phân giải Full HD+Laptop – máy tính xách tay Dell Inspiron 14 5420 DGDCG2 mang vẻ bề ngoài thanh lịch, sang trọng cùng thiết kế mỏng...",24990000,24990000,0,0,0.0,0,0,available,"Dell Inspiron 14 5420 DGDCG2Bảo mật vân tay an toàn - Màn hình độ phân giải Full HD+Laptop – máy tính xách tay Dell Inspiron 14 5420 DGDCG2 mang vẻ bề ngoài thanh lịch, sang trọng cùng thiết kế mỏng...",18805,Dell
467,273472177,3766443598307,"Thiết kế laptop mỏng, gọn nhẹLà mẫu laptop dành cho sinh viên, nhân viên văn phòng, Laptop Asus Vivobook 16 M1605YA-MB303W có thiết kế mỏng nhẹ tiện dụng với trọng lượng máy chỉ 1.88Kg. Không chỉ mỏ...",18590000,18590000,0,0,0.0,0,0,available,"Thiết kế laptop mỏng, gọn nhẹLà mẫu laptop dành cho sinh viên, nhân viên văn phòng, Laptop Asus Vivobook 16 M1605YA-MB303W có thiết kế mỏng nhẹ tiện dụng với trọng lượng máy chỉ 1.88Kg. Không chỉ mỏ...",17826,Asus
468,273670014,7227077649227,"ĐẶC ĐIỂM NỔI BẬT CỦA SẢN PHẨM LAPTOP HP Envy X360 13-BF0090TU 76B13PA- Thiết kế kim loại bền bỉ, mỏng và nhẹ, toàn bộ những gì được trang bị trên chiếc máy tính xách tay cao cấp này đều được chứng n...",27590000,36490000,8900000,24,0.0,0,0,available,"ĐẶC ĐIỂM NỔI BẬT CỦA SẢN PHẨM LAPTOP HP Envy X360 13-BF0090TU 76B13PA- Thiết kế kim loại bền bỉ, mỏng và nhẹ, toàn bộ những gì được trang bị trên chiếc máy tính xách tay cao cấp này đều được chứng n...",17825,HP
469,271510684,6172864122395,BỘ XỬ LÝDòng CPUCore i7Công nghệ CPUCore i7 Raptor LakeMã CPU1355UTốc độ CPU1.7 GHzTần số turbo tối đaUp to 5.0 GHzSố lõi CPU10 CoresSố luồng12 ThreadsBộ nhớ đệm12Mb...,21490000,21490000,0,0,0.0,0,0,available,BỘ XỬ LÝDòng CPUCore i7Công nghệ CPUCore i7 Raptor LakeMã CPU1355UTốc độ CPU1.7 GHzTần số turbo tối đaUp to 5.0 GHzSố lõi CPU10 CoresSố luồng12 ThreadsBộ nhớ đệm12Mb...,17825,HP
470,273332620,6293732317202,"Thông tin chung : Series laptop : 14/15 SeriesPart-number : 8U241PAMàu sắc : BạcCấu hình chi tiết :Thế hệ CPU : Core i3 , Intel Core thế hệ thứ 12CPU : Intel Core i3-1215U ( 1.2 GHz - 4.4 GHz ...",11790000,11790000,0,0,0.0,0,0,available,"Thông tin chung : Series laptop : 14/15 SeriesPart-number : 8U241PAMàu sắc : BạcCấu hình chi tiết :Thế hệ CPU : Core i3 , Intel Core thế hệ thứ 12CPU : Intel Core i3-1215U ( 1.2 GHz - 4.4 GHz ...",17825,HP
471,165875543,2467131624633,"HIỆU SUẤT HÌNH ẢNH NÂNG CAOHình ảnh trông tuyệt vời trên ThinkPad L460 nhờ chip đồ họa rời AMD Exo Pro Radeon R5 mạnh mẽ. Cho dù bạn đang tập hợp các bài thuyết trình video, chỉnh sửa ảnh sản phẩm ...",3590000,3590000,0,0,4.8,12,22,available,"HIỆU SUẤT HÌNH ẢNH NÂNG CAOHình ảnh trông tuyệt vời trên ThinkPad L460 nhờ chip đồ họa rời AMD Exo Pro Radeon R5 mạnh mẽ. Cho dù bạn đang tập hợp các bài thuyết trình video, chỉnh sửa ảnh sản phẩm ...",249593,Lenovo Flagship
472,270209245,9110125197304,"THÔNG TIN SẢN PHẨMThông số kỹ thuật• CPU Intel Core i5-1340P 1.9GHz up to 4.6GHz 12MB• RAM 16GB (8x2) LPDDR5 6000MHz (Onboard)• Ổ cứng 512GB M.2 NVMe PCIe 4.0 SSD (2 slot, còn trống 1 khe M.2)• C...",43990000,43990000,0,0,0.0,0,0,available,"THÔNG TIN SẢN PHẨMThông số kỹ thuật• CPU Intel Core i5-1340P 1.9GHz up to 4.6GHz 12MB• RAM 16GB (8x2) LPDDR5 6000MHz (Onboard)• Ổ cứng 512GB M.2 NVMe PCIe 4.0 SSD (2 slot, còn trống 1 khe M.2)• C...",18851,LG
473,210941899,8835578162286,THÔNG TIN SẢN PHẨMThông số HP Pavilion X360 14-ek0135TU (7C0W5PA)• CPU Intel Core i5-1235U 1.3GHz up to 4.4GHz 12MB• RAM 8GB Onboard DDR4 3200MHz• Ổ cứng 512 GB PCIe NVMe M.2 SSD• Card đồ họa Int...,21590000,21590000,0,0,0.0,0,0,available,THÔNG TIN SẢN PHẨMThông số HP Pavilion X360 14-ek0135TU (7C0W5PA)• CPU Intel Core i5-1235U 1.3GHz up to 4.4GHz 12MB• RAM 8GB Onboard DDR4 3200MHz• Ổ cứng 512 GB PCIe NVMe M.2 SSD• Card đồ họa Int...,17825,HP
474,273534544,6041974109791,"Laptop HP EliteBook X360 1040 G9 (6Z982PA) (i7-1255U/RAM 16GB/512GB SSD/ Windows 11 Pro)- CPU: Intel Core i7-1255U- Màn hình: 14"" IPS (1920 x 1200)- RAM: 16GB Onboard DDR5 4800MHz- Đồ họa: Onboard In...",52560000,52560000,0,0,0.0,0,0,available,"Laptop HP EliteBook X360 1040 G9 (6Z982PA) (i7-1255U/RAM 16GB/512GB SSD/ Windows 11 Pro)- CPU: Intel Core i7-1255U- Màn hình: 14"" IPS (1920 x 1200)- RAM: 16GB Onboard DDR5 4800MHz- Đồ họa: Onboard In...",17825,HP
475,263451423,9655561982273,"THÔNG TIN SẢN PHẨMThông số kỹ thuật• CPU Intel Core i9-12900H 2.5GHz up to 5.0GHz 24MB• RAM 16GB (8x2) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)• Ổ cứng 512 GB PCIe NVMe TLC M.2 SSD• Car...",62990000,62990000,0,0,0.0,0,0,available,"THÔNG TIN SẢN PHẨMThông số kỹ thuật• CPU Intel Core i9-12900H 2.5GHz up to 5.0GHz 24MB• RAM 16GB (8x2) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)• Ổ cứng 512 GB PCIe NVMe TLC M.2 SSD• Car...",17825,HP
